session_date,ticker,fetched_at_utc,payload_timestamp,current_price,close,prev_day_close,open,high,low,volume,iv30,iv30_change,last_trade_time,seqno
2026-07-31,SPY,2026-07-31T22:40:42Z,2026-07-31 22:39:45,744.2,747.03,741.69,744.73,748.895,737.68,61706971,12.642,0.0,2026-07-31T16:00:00,54950033971
2026-07-31,_SPX,2026-07-31T22:40:44Z,2026-07-31 22:39:55,7489.7202,7489.7202,7437.6299,7462.1299,7512.04,7399.8301,0,12.666,0.0,2026-07-31T16:14:59,54945776258
2026-08-03,SPXC,2026-08-03T22:39:27Z,2026-08-03 21:54:20,214.13,214.13,219.62,220.25,222.545,211.66,761971,42.835,0.711,2026-08-03T15:59:59,9290584005
2026-08-03,MOD,2026-08-03T22:39:29Z,2026-08-03 12:12:53,199.05,201.06,201.06,201.05,207.46,195.38,2507216,81.858,-0.147,2026-07-31T15:59:59,479887742
2026-08-03,SPY,2026-08-03T22:39:31Z,2026-08-03 22:38:36,758.24,757.67,747.03,749.4,758.58,748.8,59465019,12.633,0.0,2026-08-03T15:59:59,9296498597
2026-08-03,_SPX,2026-08-03T22:39:34Z,2026-08-03 22:38:50,7600.5,7600.5,7489.7202,7504.7798,7610.04,7504.7798,0,12.615,0.0,2026-08-03T16:14:59,9290081756
2026-08-04,SPXC,2026-08-04T22:43:22Z,2026-08-04 21:36:25,215.97,215.97,214.13,214.92,218.64,212.91,524398,41.954,-0.881,2026-08-04T15:59:59,18593123684
2026-08-04,MOD,2026-08-04T22:43:24Z,2026-08-04 20:01:30,204.415,204.415,195.92,204.5,207.9994,194.305,1171854,85.585,1.213,2026-08-04T15:46:10,17992734718
2026-08-04,SPY,2026-08-04T22:43:26Z,2026-08-04 22:42:38,772.6994,771.33,757.67,760.53,773.41,760.52,68603889,13.612,0.0,2026-08-04T16:00:00,18601794545
2026-08-04,_SPX,2026-08-04T22:43:29Z,2026-08-04 22:42:46,7736.52,7736.52,7600.5,7630.6201,7758.21,7629.1001,0,13.631,0.0,2026-08-04T16:14:59,18576946758
2026-08-05,SPXC,2026-08-05T22:42:04Z,2026-08-05 18:59:15,216.36,216.36,215.97,216.26,219.84,214.505,166937,43.361,1.407,2026-08-05T14:41:00,26655987972
2026-08-05,MOD,2026-08-05T22:42:05Z,2026-08-05 11:26:39,202.01,201.71,201.71,204.5,207.9994,194.305,1415707,85.99,0.009,2026-08-04T15:59:59,18957787646
2026-08-05,SPY,2026-08-05T22:42:07Z,2026-08-05 22:41:22,771.5708,769.79,771.33,775.89,776.85,769.51,44420541,13.126,0.0,2026-08-05T16:00:00,28349451019
2026-08-05,_SPX,2026-08-05T22:42:10Z,2026-08-05 22:41:47,7723.5498,7723.5498,7736.52,7771.6201,7793.6802,7720.1699,0,13.104,0.0,2026-08-05T16:14:59,28330300989
2026-08-07,SPXC,2026-08-07T01:04:22Z,2026-08-07 00:37:00,214.16,214.16,214.93,214.23,222.075,213.96,245164,41.789,-1.348,2026-08-06T15:59:56,38033869742
2026-08-06,MOD,2026-08-07T01:04:24Z,2026-08-06 11:51:21,195.65,194.61,194.61,197.39,207.75,194.53,1016145,81.269,0.611,2026-08-05T15:59:59,28806450561
2026-08-07,SPY,2026-08-07T01:04:25Z,2026-08-07 01:03:28,768.56,768.56,768.56,770.16,771.82,767.46,38384800,12.513,0.0,2026-08-06T15:59:59,38039133183
2026-08-07,_SPX,2026-08-07T01:04:28Z,2026-08-07 01:03:51,7709.96,7709.96,7709.96,7713.79,7742.8501,7698.1499,0,12.414,0.0,2026-08-06T16:14:59,38031988543
2026-08-07,MOD,2026-08-07T22:17:32Z,2026-08-07 11:21:06,194.41,192.52,192.52,192.0,200.75,190.95,919684,79.276,0.014,2026-08-06T15:59:59,38388953530
2026-08-10,SPXC,2026-08-10T22:19:06Z,2026-08-10 11:32:49,215.93,215.68,215.68,219.47,219.47,211.61,257641,39.638,0.714,2026-08-07T15:59:59,293726425
2026-08-10,MOD,2026-08-10T22:19:08Z,2026-08-10 11:30:51,199.54,195.6,195.6,195.41,197.71,189.5,1181979,77.034,-0.088,2026-08-07T15:59:58,304431771
2026-08-10,SPY,2026-08-10T22:19:10Z,2026-08-10 22:18:31,773.29,773.03,773.26,772.61,775.05,771.62,39134074,12.623,0.0,2026-08-10T15:59:59,8266204290
2026-08-10,_SPX,2026-08-10T22:19:12Z,2026-08-10 22:18:45,7753.1099,7753.1099,7757.6401,7751.7402,7773.7598,7743.1099,0,12.39,0.0,2026-08-10T16:14:59,8260038979
